index,Gender,Race,Age,Created Date,Mailing Zip/Postal Code,Domestic,Country,State,Program,Status,Index
174,Female,None Listed,22,1/28/2023,523001,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,175
175,Male,None Listed,21,1/28/2023,534447,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,176
176,Male,Asian,22,2/10/2023,523002,International,India,Andhra Pradedsh,Data Science (MS),Admit-Coming,177
177,Male,Asian,22,1/18/2023,522509,International,India,Andhra Pradedsh,Data Science (MS),Denied,178
178,Female,Asian,22,11/30/2022,781005,International,India,Assam,Computer Science: Scientific Computing (MS),Started App,179
179,Female,Asian,26,8/25/2022,801503,International,India,Bihar,Computer Science: Scientific Computing (MS),Admit-Coming,180
180,Female,Asian,20,2/27/2023,801503,International,India,Bihar,Criminal Justice (MA),Started App,181
181,Male,Asian,23,10/16/2022,800001,Domestic,India,Bihar,Data Science (MS),Started App,182
182,Male,Asian,24,11/9/2022,800014,International,India,Bihar,Data Science (MS),Started App,183
183,Male,Asian,21,3/10/2023,110015,International,India,Delhi,Chemistry (MS),Complete App,184
184,Male,Asian,25,12/15/2022,110059,International,India,Delhi,Creative Writing (MFA) Camden,Submitted App,185
185,Male,None Listed,26,11/14/2022,110002,International,India,Delhi,Data Science (MS),Started App,186
186,Male,Asian,23,12/17/2022,110010,International,India,Delhi,Data Science (MS),Started App,187
187,Male,Asian,24,1/6/2023,110015,International,India,Delhi,Data Science (MS),Started App,188
188,Male,Asian,24,2/10/2023,110089,International,India,Delhi,Data Science (MS),Started App,189
189,Male,Asian,26,12/26/2022,110085,International,India,Delhi,Data Science (MS),Submitted App,190
190,Female,Asian,22,3/5/2023,110092,International,India,Delhi,Data Science (MS),Submitted App,191
191,Female,Asian,23,1/5/2023,110018,International,India,Delhi,Data Science (MS),Complete App,192
192,Male,Asian,21,1/15/2023,110058,International,India,Delhi,Data Science (MS),Complete App,193
193,Male,Asian,22,2/7/2023,110065,International,India,Delhi,Data Science (MS),Complete App,194
194,Male,Asian,24,9/22/2022,110058,International,India,Delhi,Data Science (MS),Admit,195
195,Female,Asian,22,8/24/2022,110005,International,India,Delhi,Psychology: Psychological Sciences (MA),Admit-Coming,196
196,Female,Asian,22,9/30/2022,403401,International,India,Goa,Computer Science: Scientific Computing (MS),Denied,197
197,Male,Asian,24,6/3/2022,395009,International,India,Gujarat,Computer Science: Scientific Computing (MS),Started App,198
198,Male,Asian,22,11/11/2022,380059,International,India,Gujarat,Computer Science: Scientific Computing (MS),Started App,199
199,Male,Asian,21,11/15/2022,380008,Domestic,India,Gujarat,Data Science (MS),Started App,200
200,Male,Asian,22,11/21/2022,392011,International,India,Gujarat,Data Science (MS),Started App,201
201,Male,Asian,22,12/10/2022,380015,International,India,Gujarat,Data Science (MS),Started App,202
202,Female,Asian,26,1/19/2023,395001,International,India,Gujarat,Data Science (MS),Started App,203
203,Male,Asian,25,1/23/2023,395006,International,India,Gujarat,Data Science (MS),Started App,204
204,Female,Asian,21,11/14/2022,380058,International,India,Gujarat,Data Science (MS),Complete App,205
205,Female,Asian,22,11/28/2022,380058,International,India,Gujarat,Data Science (MS),Complete App,206
206,Female,Asian,20,12/20/2022,380015,International,India,Gujarat,Data Science (MS),Complete App,207
207,Male,Asian,22,1/26/2023,396195,International,India,Gujarat,Data Science (MS),Complete App,208
208,Male,Asian,22,2/28/2023,380015,International,India,Gujarat,Data Science (MS),Complete App,209
209,Female,Asian,21,12/2/2022,380009,International,India,Gujarat,Data Science (MS),Admit,210
210,Male,Asian,21,12/15/2022,395017,International,India,Gujarat,Data Science (MS),Admit,211
