City,State,Lat,Long,Country,Date Started App,Date Submitted App,Program,Status
Camden,New Jersey,39.9361,-75.1073,United States,44991,45002,Teacher Education (MAT),Submitted App
Cape Coast,Central Region,5.1,-1.25,Ghana,44724,,Computer Science: Scientific Computing (MS),Started App
Cape Coast,Central Region,5.1,-1.25,Ghana,44657,44907,English (MA),Submitted App
Cape Coast,Central Region,5.1,-1.25,Ghana,44905,44905,English (MA),Admit-Coming
cape may court house,New Jersey,39.0788,-74.8205,United States,44979,,Criminal Justice (MA),Started App
Capetown,capetown,-33.924869,18.424055,South Africa,44881,44893,Biology: Computational and Integrative (PHD),Denied
Carbondale,Illinois,37.7221,-89.2237,United States,44898,44898,Creative Writing (MFA) Camden,Denied
Carlsbad,California,33.1246,-117.2834,United States,44719,44896,Psychology: Psychological Sciences (MA),Complete App
Carneys Point,New Jersey,39.6967,-75.4475,United States,44875,,Public Administration - On Campus (MPA),Started App
Cartersville,Georgia,34.1644,-84.8009,United States,44909,44934,Creative Writing (MFA) Camden,Admit-Withdrawn
Cary,North Carolina,35.7819,-78.8195,United States,44898,44963,Biology: Computational and Integrative (PHD),Admit-Coming
